diagnosisId:ID,icdCode,icdVersion,icdTitle,:LABEL
d_Z955_10,Z955,10,Presence of coronary angioplasty implant and graft,Diagnosis
d_F419_10,F419,10,"Anxiety disorder, unspecified",Diagnosis
d_Z6832_10,Z6832,10,"Body mass index (BMI) 32.0-32.9, adult",Diagnosis
d_71535_9,71535,9,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",Diagnosis
d_44102_9,44102,9,"Dissection of aorta, abdominal",Diagnosis
d_5641_9,5641,9,Irritable bowel syndrome,Diagnosis
d_60000_9,60000,9,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),Diagnosis
d_V1301_9,V1301,9,Personal history of urinary calculi,Diagnosis
d_4779_9,4779,9,"Allergic rhinitis, cause unspecified",Diagnosis
d_4239_9,4239,9,Unspecified disease of pericardium,Diagnosis
d_4111_9,4111,9,Intermediate coronary syndrome,Diagnosis
d_7291_9,7291,9,"Myalgia and myositis, unspecified",Diagnosis
d_6185_9,6185,9,Prolapse of vaginal vault after hysterectomy,Diagnosis
d_56400_9,56400,9,"Constipation, unspecified",Diagnosis
d_E9352_9,E9352,9,Other opiates and related narcotics causing adverse effects in therapeutic use,Diagnosis
d_6186_9,6186,9,"Vaginal enterocele, congenital or acquired",Diagnosis
d_31401_9,31401,9,Attention deficit disorder with hyperactivity,Diagnosis
d_78052_9,78052,9,"Insomnia, unspecified",Diagnosis
d_78829_9,78829,9,Other specified retention of urine,Diagnosis
d_9950_9,9950,9,Other anaphylactic reaction,Diagnosis
d_V1041_9,V1041,9,Personal history of malignant neoplasm of cervix uteri,Diagnosis
d_3331_9,3331,9,Essential and other specified forms of tremor,Diagnosis
d_30000_9,30000,9,"Anxiety state, unspecified",Diagnosis
d_4571_9,4571,9,Other lymphedema,Diagnosis
d_44489_9,44489,9,Embolism and thrombosis of other specified artery,Diagnosis
d_9982_9,9982,9,"Accidental puncture or laceration during a procedure, not elsewhere classified",Diagnosis
d_E8700_9,E8700,9,"Accidental cut, puncture, perforation or hemorrhage during surgical operation",Diagnosis
d_V1009_9,V1009,9,Personal history of malignant neoplasm of other gastrointestinal tract,Diagnosis
d_1962_9,1962,9,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Diagnosis
d_V1042_9,V1042,9,Personal history of malignant neoplasm of other parts of uterus,Diagnosis
d_53240_9,53240,9,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",Diagnosis
d_53010_9,53010,9,"Esophagitis, unspecified",Diagnosis
d_2769_9,2769,9,Electrolyte and fluid disorders not elsewhere classified,Diagnosis
d_7904_9,7904,9,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],Diagnosis
d_2764_9,2764,9,Mixed acid-base balance disorder,Diagnosis
d_5533_9,5533,9,Diaphragmatic hernia without mention of obstruction or gangrene,Diagnosis
d_E9353_9,E9353,9,Salicylates causing adverse effects in therapeutic use,Diagnosis
d_04149_9,04149,9,Other and unspecified Escherichia coli [E. coli],Diagnosis
d_28860_9,28860,9,"Leukocytosis, unspecified",Diagnosis
d_51881_9,51881,9,Acute respiratory failure,Diagnosis
d_0389_9,0389,9,Unspecified septicemia,Diagnosis
d_53140_9,53140,9,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",Diagnosis
d_J45909_10,J45909,10,"Unspecified asthma, uncomplicated",Diagnosis
d_I214_10,I214,10,Non-ST elevation (NSTEMI) myocardial infarction,Diagnosis
